,rank,book,author,average rating,total ratings,number of people voted,score
0,1,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,4.62,"3,480,658",4131,408600
1,2,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,4.33,"7,999,454",3140,307689
2,3,The Kite Runner,Khaled Hosseini,4.33,"2,965,319",2744,270154
3,4,The Book Thief,Markus Zusak,4.39,"2,375,127",2711,266125
4,5,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,4.58,"3,059,977",2362,229377
5,6,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,4.50,"3,160,002",2157,207617
6,7,The Help,Kathryn Stockett,4.47,"2,608,833",1758,169933
7,8,A Thousand Splendid Suns,Khaled Hosseini,4.42,"1,434,131",1723,168218
8,9,Life of Pi,Yann Martel,3.93,"1,556,148",1578,153757
9,10,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,4.31,"3,254,187",1601,152605
10,11,"The Girl with the Dragon Tattoo (Millennium, #1)",Stieg Larsson,4.16,"3,038,006",1529,147015
11,12,The Time Traveler's Wife,Audrey Niffenegger,3.99,"1,738,679",1459,142037
12,13,The Fault in Our Stars,John Green,4.15,"4,783,749",1398,134194
13,14,"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,3.90,"2,254,764",1348,129364
14,15,The Road,Cormac McCarthy,3.98,"844,602",1280,124810
15,16,The Curious Incident of the Dog in the Night-Time,Mark Haddon,3.89,"1,416,184",1194,114396
16,17,Water for Elephants,Sara Gruen,4.10,"1,560,078",1175,112838
17,18,"Mockingjay (The Hunger Games, #3)",Suzanne Collins,4.07,"2,961,032",1145,106862
18,19,Middlesex,Jeffrey Eugenides,4.03,"626,082",909,88005
19,20,The Lovely Bones,Alice Sebold,3.85,"2,272,252",915,86981
20,21,"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,4.29,"2,708,534",917,86268
21,22,"Divergent (Divergent, #1)",Veronica Roth,4.15,"3,720,965",920,85972
22,23,"Twilight (The Twilight Saga, #1)",Stephenie Meyer,3.64,"6,179,059",895,85258
23,24,Atonement,Ian McEwan,3.93,"499,286",868,82876
24,25,"American Gods (American Gods, #1)",Neil Gaiman,4.11,"885,425",819,78685
25,26,"The Shadow of the Wind (The Cemetery of Forgotten Books, #1)",Carlos Ruiz Zafón,4.29,"592,401",817,78128
26,27,"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,4.08,"1,920,389",802,75657
27,28,The Glass Castle,Jeannette Walls,4.31,"1,124,909",775,73526
28,29,The Secret Life of Bees,Sue Monk Kidd,4.08,"1,250,739",773,73220
29,30,Extremely Loud & Incredibly Close,Jonathan Safran Foer,3.97,"412,056",749,72495
30,31,"Angels & Demons (Robert Langdon, #1)",Dan Brown,3.93,"3,080,358",731,68558
31,32,My Sister's Keeper,Jodi Picoult,4.09,"1,178,622",723,68316
32,33,Never Let Me Go,Kazuo Ishiguro,3.84,"632,486",703,66843
33,34,"The Girl Who Played with Fire (Millennium, #2)",Stieg Larsson,4.25,"894,501",684,63270
34,35,Cloud Atlas,David Mitchell,4.01,"241,047",573,55084
35,36,The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,4.19,"720,984",556,52205
36,37,"The Host (The Host, #1)",Stephenie Meyer,3.85,"979,119",552,51444
37,38,"Breaking Dawn (The Twilight Saga, #4)",Stephenie Meyer,3.73,"1,609,533",553,51183
38,39,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",Stieg Larsson,4.23,"713,174",550,50104
39,40,"Eclipse (The Twilight Saga, #3)",Stephenie Meyer,3.72,"1,707,971",541,49805
40,41,A Story of Yesterday,Sergio Cobo,4.60,"11,480",485,48500
41,42,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,4.52,"895,735",495,47826
42,43,"Eat, Pray, Love",Elizabeth Gilbert,3.61,"1,682,466",498,46797
43,44,Kafka on the Shore,Haruki Murakami,4.14,"427,606",488,46713
44,45,"New Moon (The Twilight Saga, #2)",Stephenie Meyer,3.58,"1,813,397",504,45961
45,46,"City of Glass (The Mortal Instruments, #3)",Cassandra Clare,4.28,"926,548",459,42290
46,47,The Graveyard Book,Neil Gaiman,4.15,"513,371",451,42110
47,48,Room,Emma Donoghue,4.07,"784,579",450,41693
48,49,Gone Girl,Gillian Flynn,4.12,"2,885,847",439,40138
49,50,"City of Ashes (The Mortal Instruments, #2)",Cassandra Clare,4.12,"894,289",419,37883
50,51,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt,really,liked,391,37430
51,52,The Night Circus,Erin Morgenstern,4.02,"900,048",399,37187
52,53,The Corrections,Jonathan Franzen,3.82,"176,554",383,36332
53,54,The Brief Wondrous Life of Oscar Wao,Junot Díaz,3.89,"256,078",376,35976
54,55,The Devil in the White City,Erik Larson,really,liked,384,35762
55,56,Bel Canto,Ann Patchett,3.93,"270,819",354,33185
56,57,The Thirteenth Tale,Diane Setterfield,3.97,"305,184",354,33157
57,58,The Complete Persepolis,Marjane Satrapi,4.39,"168,616",351,32970
58,59,A Short History of Nearly Everything,Bill Bryson,4.21,"367,620",350,32874
59,60,No Country for Old Men,Cormac McCarthy,4.14,"180,290",348,32829
60,61,Marley and Me: Life and Love With the World's Worst Dog,John Grogan,4.14,"464,473",355,32821
61,62,"Vampire Academy (Vampire Academy, #1)",Richelle Mead,4.11,"627,724",354,32743
62,63,The Art of Racing in the Rain,Garth Stein,4.22,"501,429",352,32504
63,64,"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",Philippa Gregory,4.08,"488,375",355,32481
64,65,The Historian,Elizabeth Kostova,3.79,"259,600",341,31989
65,66,"Oryx and Crake (MaddAddam, #1)",Margaret Atwood,4.01,"255,793",335,31611
66,67,The Namesake,Jhumpa Lahiri,4.01,"261,364",337,31520
67,68,All the Light We Cannot See,Anthony Doerr,4.32,"1,455,795",337,31286
68,69,Everything is Illuminated,Jonathan Safran Foer,3.89,"176,361",326,30917
69,70,Snow Flower and the Secret Fan,Lisa See,4.09,"364,582",331,30306
70,71,Jonathan Strange & Mr Norrell,Susanna Clarke,3.85,"227,799",309,29310
71,72,The Memory Keeper's Daughter,Kim Edwards,3.69,"592,424",294,26743
72,73,The God Delusion,Richard Dawkins,3.90,"260,621",271,25792
73,74,"Unbroken: A World War II Story of Survival, Resilience and Redemption",Laura Hillenbrand,4.37,"899,427",271,25301
74,75,"Lamb: The Gospel According to Biff, Christ's Childhood Pal",Christopher Moore,4.22,"169,249",261,25047
75,76,The Shack,William Paul Young,3.81,"620,917",264,24552
76,77,Sarah's Key,Tatiana de Rosnay,4.17,"463,065",263,23728
77,78,Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time,Greg Mortenson,3.66,"341,918",257,23694
78,79,Nineteen Minutes,Jodi Picoult,4.15,"350,470",250,22615
79,80,The Boy in the Striped Pajamas,John Boyne,4.15,"753,341",239,21592
80,81,The Omnivore's Dilemma: A Natural History of Four Meals,Michael Pollan,4.18,"200,127",223,21076
81,82,Looking for Alaska,John Green,3.98,"1,492,171",231,20949
82,83,The History of Love,Nicole Krauss,3.92,"132,790",225,20937
83,84,What Is the What,Dave Eggers,4.14,"83,479",221,20901
84,85,Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,3.96,"571,730",223,20851
85,86,The White Tiger,Aravind Adiga,3.76,"185,742",223,20436
86,87,11/22/63,Stephen King,4.33,"504,770",215,19627
87,88,"Ready Player One (Ready Player One, #1)",Ernest Cline,4.23,"1,092,525",211,19319
88,89,"Gilead (Gilead, #1)",Marilynne Robinson,3.85,"104,797",202,18778
89,90,The Story of Edgar Sawtelle,David Wroblewski,3.63,"97,171",198,18217
90,91,The Year of Magical Thinking,Joan Didion,3.93,"214,623",199,18184
91,92,Empire Falls,Richard Russo,3.93,"119,153",196,18110
92,93,Dress Your Family in Corduroy and Denim,David Sedaris,4.10,"271,821",193,18009
93,94,John Adams,David McCullough,4.07,"353,060",195,18005
94,95,A Million Little Pieces,James Frey,3.67,"245,882",188,17428
95,96,"Anansi Boys (American Gods, #2)",Neil Gaiman,4.04,"215,510",185,17224
96,97,God Is Not Great: How Religion Poisons Everything,Christopher Hitchens,3.95,"103,322",180,16925
97,98,"Insurgent (Divergent, #2)",Veronica Roth,3.98,"1,421,625",195,16824
98,99,"Eats, Shoots & Leaves: The Zero Tolerance Approach to Punctuation",Lynne Truss,3.86,"104,328",181,16603
99,100,People of the Book,Geraldine Brooks,4.02,"139,601",177,16164
100,101,Cutting for Stone,Abraham   Verghese,4.30,"363,314",172,15934
101,102,The Martian,Andy Weir,4.41,"1,042,951",177,15749
102,103,The Goldfinch,Donna Tartt,3.93,"869,297",167,15305
103,104,"Clockwork Angel (The Infernal Devices, #1)",Cassandra Clare,4.32,"798,206",168,14987
104,105,The Immortal Life of Henrietta Lacks,Rebecca Skloot,4.10,"697,339",163,14405
105,106,Unaccustomed Earth,Jhumpa Lahiri,4.12,"90,651",152,13883
106,107,Coraline,Neil Gaiman,4.10,"632,349",153,13675
107,108,"Eragon (The Inheritance Cycle, #1)",Christopher Paolini,3.94,"1,680,768",152,13313
108,109,We Need to Talk About Kevin,Lionel Shriver,4.08,"187,236",144,13237
109,110,Under the Banner of Heaven: A Story of Violent Faith,Jon Krakauer,really,liked,145,13101
110,111,"Animal, Vegetable, Miracle: A Year of Food Life",Barbara Kingsolver,4.04,"107,942",137,12735
111,112,"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,4.33,"625,195",139,12474
112,113,"World Without End (Kingsbridge, #2)",Ken Follett,4.30,"236,668",131,11905
113,114,The Five People You Meet in Heaven,Mitch Albom,3.98,"682,504",132,11885
114,115,On Beauty,Zadie Smith,3.76,"78,796",128,11713
115,116,"The Last Olympian (Percy Jackson and the Olympians, #5)",Rick Riordan,4.54,"900,521",137,11639
116,117,Year of Wonders,Geraldine Brooks,4.01,"155,940",129,11572
117,118,The Known World,Edward P. Jones,3.83,"40,504",125,11362
118,119,"A Feast for Crows (A Song of Ice and Fire, #4)",George R.R. Martin,4.15,"701,597",127,11287
119,120,"Graceling (Graceling Realm, #1)",Kristin Cashore,4.07,"444,318",127,11235
120,121,"The Maze Runner (The Maze Runner, #1)",James Dashner,4.04,"1,410,124",125,10858
121,122,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",Rick Riordan,4.24,"1,037,224",128,10745
122,123,Freedom,Jonathan Franzen,3.78,"164,601",118,10672
123,124,Thirteen Reasons Why,Jay Asher,3.86,"930,397",119,10499
124,125,"The Millennium Trilogy (Millennium Trilogy, #1-3)",Stieg Larsson,4.46,"54,035",112,10381
125,126,World War Z: An Oral History of the Zombie War,Max Brooks,4.02,"503,613",118,10322
126,127,The Ocean at the End of the Lane,Neil Gaiman,4.01,"581,333",112,10044
127,128,"The Titan's Curse (Percy Jackson and the Olympians, #3)",Rick Riordan,4.36,"939,379",120,9884
128,129,Shantaram,Gregory David Roberts,4.27,"203,653",104,9791
129,130,Seabiscuit: An American Legend,Laura Hillenbrand,4.22,"159,749",110,9774
130,131,The Elegance of the Hedgehog,Muriel Barbery,3.79,"176,297",107,9648
131,132,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",Rick Riordan,4.41,"978,780",116,9616
132,133,"Shadow Kiss (Vampire Academy, #3)",Richelle Mead,4.34,"356,189",107,9376
133,134,2666,Roberto Bolaño,4.19,"39,293",101,9364
134,135,"The Lost Symbol (Robert Langdon, #3)",Dan Brown,3.74,"588,568",110,9336
135,136,The Last Lecture,Randy Pausch,4.26,"334,755",103,9252
136,137,"Olive Kitteridge (Olive Kitteridge, #1)",Elizabeth Strout,3.85,"223,908",104,9249
137,138,"Frostbite (Vampire Academy, #2)",Richelle Mead,4.26,"344,491",106,9201
138,139,"Me Before You (Me Before You, #1)",Jojo Moyes,4.26,"1,517,794",105,8975
139,140,"Wolf Hall (Thomas Cromwell, #1)",Hilary Mantel,3.90,"201,159",102,8916
140,141,"Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children, #1)",Ransom Riggs,3.92,"1,200,815",105,8844
141,142,The Plot Against America,Philip Roth,3.79,"58,770",100,8787
142,143,Reading Lolita in Tehran: A Memoir in Books,Azar Nafisi,3.64,"131,425",100,8765
143,144,"1Q84 (1Q84, #1-3)",Haruki Murakami,3.94,"246,174",97,8696
144,145,The Tales of Beedle the Bard,J.K. Rowling,4.04,"471,601",103,8623
145,146,"Inkheart (Inkworld, #1)",Cornelia Funke,3.91,"410,401",101,8586
146,147,"Uglies (Uglies, #1)",Scott Westerfeld,3.85,"638,738",98,8430
147,148,A Visit from the Goon Squad,Jennifer Egan,3.69,"211,786",94,8421
148,149,"The Wise Man's Fear (The Kingkiller Chronicle, #2)",Patrick Rothfuss,4.55,"521,668",90,8095
149,150,"Hush, Hush (Hush, Hush, #1)",Becca Fitzpatrick,3.93,"678,906",92,8024
150,151,The Trigger: Hunting the Assassin Who Brought the World to War,Tim Butcher,3.78,"3,917",80,7934
151,152,Let the Great World Spin,Colum McCann,3.95,"102,800",85,7807
152,153,"Dead Until Dark (Sookie Stackhouse, #1)",Charlaine Harris,3.97,"528,354",91,7800
153,154,"City of Fallen Angels (The Mortal Instruments, #4)",Cassandra Clare,4.08,"576,105",97,7791
154,155,Peace Like a River,Leif Enger,really,liked,86,7783
155,156,"Blood Promise (Vampire Academy, #4)",Richelle Mead,4.31,"304,466",91,7780
156,157,Nickel and Dimed: On (Not) Getting by in America,Barbara Ehrenreich,3.65,"188,908",89,7764
157,158,Running with Scissors,Augusten Burroughs,3.75,"382,216",88,7589
158,159,"The Lost Hero (The Heroes of Olympus, #1)",Rick Riordan,4.31,"781,615",92,7434
159,160,"The Passage (The Passage, #1)",Justin Cronin,4.04,"204,965",78,7173
160,161,Half of a Yellow Sun,Chimamanda Ngozi Adichie,4.33,"146,618",82,7124
161,162,The Yiddish Policemen's Union,Michael Chabon,3.71,"74,781",80,7118
162,163,The Invention of Hugo Cabret,Brian Selznick,4.22,"179,129",83,7100
163,164,Hotel on the Corner of Bitter and Sweet,Jamie Ford,4.03,"290,692",80,7038
164,165,Shutter Island,Dennis Lehane,4.11,"186,109",79,6890
165,166,Suite Française,Irène Némirovsky,3.85,"72,103",77,6832
166,167,Mystic River,Dennis Lehane,4.16,"140,245",80,6786
167,168,"The Eyre Affair (Thursday Next, #1)",Jasper Fforde,3.88,"129,906",72,6780
168,169,One Day,David Nicholls,3.81,"315,451",75,6672
169,170,The Girl on the Train,Paula Hawkins,3.95,"2,741,373",79,6578
170,171,The Forgotten Garden,Kate Morton,4.14,"214,811",74,6490
171,172,Black Swan Green,David Mitchell,3.97,"41,121",70,6465
172,173,"Spirit Bound (Vampire Academy, #5)",Richelle Mead,4.33,"286,607",76,6455
173,174,"The Final Empire (Mistborn, #1)",Brandon Sanderson,4.47,"591,244",70,6391
174,175,Little Bee,Chris Cleave,3.72,"238,054",73,6376
175,176,Fingersmith,Sarah Waters,4.02,"100,645",71,6352
176,177,Fast Food Nation: The Dark Side of the All-American Meal,Eric Schlosser,3.75,"204,800",69,6206
177,178,"Delirium (Delirium, #1)",Lauren Oliver,3.96,"457,422",74,6167
178,179,Let the Right One In,John Ajvide Lindqvist,4.04,"105,626",67,6114
179,180,"Clockwork Prince (The Infernal Devices, #2)",Cassandra Clare,4.43,"530,348",75,5992
180,181,The Nightingale,Kristin Hannah,4.61,"1,124,956",70,5970
181,182,Saturday,Ian McEwan,3.63,"68,573",68,5931
182,183,"The Year of the Flood (MaddAddam, #2)",Margaret Atwood,4.06,"120,318",66,5926
183,184,"Matched (Matched, #1)",Ally Condie,3.63,"751,080",73,5906
184,185,"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James,3.66,"2,442,857",72,5891
185,186,Team of Rivals: The Political Genius of Abraham Lincoln,Doris Kearns Goodwin,4.27,"180,202",64,5666
186,187,"A Discovery of Witches (All Souls, #1)",Deborah Harkness,4.02,"462,791",66,5630
187,188,"Wonder (Wonder, #1)",R.J. Palacio,4.38,"1,020,461",70,5611
188,189,"Odd Thomas (Odd Thomas, #1)",Dean Koontz,3.98,"264,325",63,5573
189,190,The Tale of Despereaux,Kate DiCamillo,4.06,"190,257",67,5500
190,190,High in School,Salman Aditya,3.58,"2,125",55,5500
191,192,Stiff: The Curious Lives of Human Cadavers,Mary Roach,4.06,"207,434",61,5469
192,193,"Cinder (The Lunar Chronicles, #1)",Marissa Meyer,4.13,"869,705",68,5397
193,194,"If I Stay (If I Stay, #1)",Gayle Forman,3.92,"860,983",67,5313
194,195,Snow,Orhan Pamuk,3.61,"45,197",60,5259
195,196,The Bookseller of Kabul,Åsne Seierstad,3.76,"51,654",63,5249
196,197,The Song of Achilles,Madeline Miller,4.36,"1,193,432",57,5145
197,198,"Throne of Glass (Throne of Glass, #1)",Sarah J. Maas,4.19,"1,043,505",63,5121
198,199,Flow Down Like Silver,Ki Longfellow,3.98,"4,600",52,5110
199,200,"Sex, Drugs, and Cocoa Puffs: A Low Culture Manifesto",Chuck Klosterman,3.74,"70,343",55,5089
200,201,Paper Towns,John Green,3.72,"1,264,975",60,4969
201,202,"A Great and Terrible Beauty (Gemma Doyle, #1)",Libba Bray,3.79,"219,737",57,4901
202,203,Dear John,Nicholas Sparks,4.04,"586,541",57,4898
203,204,"Last Sacrifice (Vampire Academy, #6)",Richelle Mead,4.37,"280,025",58,4895
204,205,"Possession of My Soul (The Three Immortal Blades, #1)",Kia Carrington-Russell,3.52,"2,285",49,4885
205,206,"Allegiant (Divergent, #3)",Veronica Roth,3.61,"998,224",62,4872
206,207,Americanah,Chimamanda Ngozi Adichie,4.32,"349,422",56,4860
207,208,Under the Dome,Stephen King,3.91,"288,397",54,4696
208,209,"Clockwork Princess (The Infernal Devices, #3)",Cassandra Clare,4.56,"423,678",57,4686
209,210,"Eldest (The Inheritance Cycle, #2)",Christopher Paolini,4.02,"417,302",59,4673
210,211,The Crimson Petal and the White,Michel Faber,3.88,"42,679",53,4669
211,212,The Lacuna,Barbara Kingsolver,3.80,"67,030",57,4628
212,213,The Hour I First Believed,Wally Lamb,3.82,"61,504",55,4627
213,214,"Moloka'i (Moloka'i, #1)",Alan Brennert,4.18,"125,115",52,4612
214,215,"City of Lost Souls (The Mortal Instruments, #5)",Cassandra Clare,4.23,"508,418",61,4548
215,215,"Fallen (Fallen, #1)",Lauren Kate,3.72,"566,499",56,4548
216,217,The Sense of an Ending,Julian Barnes,3.73,"172,291",54,4534
217,218,Then We Came to the End,Joshua Ferris,3.46,"34,874",49,4517
218,219,The Little Friend,Donna Tartt,3.47,"63,825",51,4513
219,220,A Long Way Gone: Memoirs of a Boy Soldier,Ishmael Beah,4.15,"182,622",51,4406
220,221,Assassination Vacation,Sarah Vowell,3.93,"46,279",48,4394
221,222,"The Summoning (Darkest Powers, #1)",Kelley Armstrong,4.02,"168,664",51,4314
222,223,Still Alice,Lisa Genova,4.32,"331,359",53,4305
223,224,"Bring Up the Bodies (Thomas Cromwell, #2)",Hilary Mantel,4.28,"91,429",50,4242
224,225,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",Ann Brashares,3.83,"685,576",56,4229
225,226,"I Am Number Four (Lorien Legacies, #1)",Pittacus Lore,3.94,"335,604",52,4221
226,227,"Shiver (The Wolves of Mercy Falls, #1)",Maggie Stiefvater,3.76,"470,730",56,4202
227,228,A Little Life,Hanya Yanagihara,4.34,"461,839",46,4193
228,229,Deception Point,Dan Brown,3.74,"651,651",52,4186
229,230,"P.S. I Love You (P.S. I Love You, #1)",Cecelia Ahern,4.03,"372,405",54,4159
230,231,The Gargoyle,Andrew  Davidson,3.96,"48,147",45,4076
231,232,"In the Woods (Dublin Murder Squad, #1)",Tana French,3.79,"379,238",47,4031
232,233,March,Geraldine Brooks,3.78,"64,924",47,3971
233,234,"The Nanny Diaries (Nanny, #1)",Emma McLaughlin,3.45,"377,480",47,3970
234,235,Vernon God Little,D.B.C. Pierre,3.60,"31,807",45,3964
235,236,Dewey: The Small-Town Library Cat Who Touched the World,Vicki Myron,3.86,"59,181",44,3935
236,237,"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson,4.65,"430,541",43,3928
237,238,"Dead to the World (Sookie Stackhouse, #4)",Charlaine Harris,4.12,"254,542",48,3887
238,239,"The 100-Year-Old Man Who Climbed Out the Window and Disappeared (The Hundred-Year-Old Man, #1)",Jonas Jonasson,3.82,"262,482",48,3870
239,240,"The Son of Neptune (The Heroes of Olympus, #2)",Rick Riordan,4.42,"536,790",51,3829
240,241,"Beautiful Creatures (Caster Chronicles, #1)",Kami Garcia,3.77,"585,829",51,3816
241,242,City of Thieves,David Benioff,4.29,"141,748",44,3791
242,243,Out Stealing Horses,Per Petterson,3.80,"34,157",43,3774
243,244,I Am America,Stephen Colbert,3.89,"81,679",43,3758
244,245,1776,David McCullough,4.09,"221,168",46,3706
245,246,"Daughter of Smoke & Bone (Daughter of Smoke & Bone, #1)",Laini Taylor,really,liked,46,3705
246,247,"The Hate U Give (The Hate U Give, #1)",Angie Thomas,4.49,"820,360",44,3703
247,248,"Shanghai Girls (Shanghai Girls, #1)",Lisa See,3.91,"150,672",43,3670
248,249,"The Fiery Cross (Outlander, #5)",Diana Gabaldon,4.25,"201,183",43,3667
249,250,"The Mark of Athena (The Heroes of Olympus, #3)",Rick Riordan,4.47,"552,837",48,3656
250,251,The Thousand Autumns of Jacob de Zoet,David Mitchell,4.02,"62,409",43,3594
251,252,Eleanor & Park,Rainbow Rowell,3.96,"1,114,480",48,3592
252,253,Collapse: How Societies Choose to Fail or Succeed,Jared Diamond,3.93,"69,626",39,3486
253,254,Crossing the Seas: A Diary of My Thoughts,Yuehai Xiao,3.55,"2,135",35,3482
254,255,Austerlitz,W.G. Sebald,3.99,"20,543",36,3458
255,256,"A Breath of Snow and Ashes (Outlander, #6)",Diana Gabaldon,4.43,"169,182",40,3384
256,257,Loving Frank,Nancy Horan,3.76,"96,880",41,3375
257,258,In Defense of Food: An Eater's Manifesto,Michael Pollan,4.07,"113,558",39,3343
258,259,Before I Fall,Lauren Oliver,3.89,"330,336",40,3341
259,260,The Birth of Venus,Sarah Dunant,3.81,"97,220",42,3337
260,261,A Gentleman in Moscow,Amor Towles,4.33,"483,393",40,3317
261,262,"Fifty Shades Darker (Fifty Shades, #2)",E.L. James,3.83,"863,685",42,3296
262,263,Choke,Chuck Palahniuk,3.70,"204,471",39,3294
263,264,Fangirl,Rainbow Rowell,3.97,"718,835",42,3286
264,265,"Dreams of the Ringed Vale (Luthiel's Song, #1)",Robert Fanney,3.65,"2,972",34,3278
265,266,"The Book of Lost Things (The Book of Lost Things, #1)",John Connolly,3.96,"76,184",40,3271
266,267,Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,4.07,"410,445",40,3253
267,268,"A Dirty Job (Grim Reaper, #1)",Christopher Moore,4.03,"116,421",35,3249
268,269,A Man Called Ove,Fredrik Backman,4.38,"914,703",40,3188
269,270,Sharp Objects,Gillian Flynn,4.01,"935,684",40,3114
270,271,"Same Kind of Different as Me: A Modern-Day Slave, an International Art Dealer, and the Unlikely Woman Who Bound Them Together",Ron Hall,4.19,"88,672",34,3109
271,272,"The Angel's Game (The Cemetery of Forgotten Books, #2)",Carlos Ruiz Zafón,3.98,"151,160",36,3095
272,273,"The Red Pyramid (The Kane Chronicles, #1)",Rick Riordan,4.10,"377,224",42,3063
273,274,Blankets,Craig Thompson,4.05,"112,442",34,3034
274,275,"Life After Life (Todd Family, #1)",Kate Atkinson,3.77,"221,015",34,3015
275,276,The Book of Negroes,Lawrence Hill,4.46,"84,181",36,3011
276,277,The Absolutely True Diary of a Part-Time Indian,Sherman Alexie,4.07,"259,716",37,2973
277,278,Station Eleven,Emily St. John Mandel,4.07,"468,875",35,2932
278,279,"The Knife of Never Letting Go (Chaos Walking, #1)",Patrick Ness,3.97,"187,927",33,2928
279,280,In the Heart of the Sea: The Tragedy of the Whaleship Essex,Nathaniel Philbrick,4.14,"103,245",31,2922
280,281,"Night Watch (Discworld, #29; City Watch, #6)",Terry Pratchett,4.49,"107,015",33,2909
281,282,"Dark Lover (Black Dagger Brotherhood, #1)",J.R. Ward,4.16,"327,141",36,2901
282,283,And the Mountains Echoed,Khaled Hosseini,4.07,"354,872",36,2873
283,284,On Chesil Beach,Ian McEwan,3.60,"89,173",36,2834
284,285,"The Selection (The Selection, #1)",Kiera Cass,4.09,"1,415,915",36,2817
285,286,Cell,Stephen King,3.66,"215,562",34,2784
286,287,"Bitten (Otherworld, #1)",Kelley Armstrong,4.02,"100,247",32,2770
287,288,"Legend (Legend, #1)",Marie Lu,4.16,"505,095",34,2759
288,289,Consider the Lobster and Other Essays,David Foster Wallace,4.18,"48,022",32,2756
289,290,"The End of Faith: Religion, Terror, and the Future of Reason",Sam Harris,3.89,"40,884",30,2752
290,291,"Brisingr (The Inheritance Cycle, #3)",Christopher Paolini,4.08,"351,610",36,2738
291,292,"The Rosie Project (Don Tillman, #1)",Graeme Simsion,4.02,"533,090",34,2727
292,293,The Last Song,Nicholas Sparks,4.16,"544,128",35,2677
293,294,"Dissolution (Matthew Shardlake, #1)",C.J. Sansom,4.05,"51,699",30,2659
294,295,Anathem,Neal Stephenson,4.17,"69,526",28,2658
295,296,Just Kids,Patti Smith,4.20,"249,151",31,2656
296,297,Tell No One,Harlan Coben,4.08,"149,024",31,2645
297,298,The Orphan Master's Son,Adam  Johnson,4.06,"98,040",31,2627
298,299,Lips of a Mastodon,Ted Bernal Guevara,3.55,"3,137",26,2600
299,300,"The Past (VanWest, #1)",Kenneth   Thomas,3.77,696,26,2589
300,301,"Blood & Spirits (The Coming Storm, #1)",Dennis Sharpe,3.58,"2,282",26,2584
301,302,"Julie and Julia: 365 Days, 524 Recipes, 1 Tiny Apartment Kitchen",Julie Powell,3.71,"158,359",30,2563
302,303,Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,4.05,"750,708",30,2553
303,304,The Casual Vacancy,J.K. Rowling,3.30,"323,688",32,2546
304,305,Dreamcatcher,Stephen King,3.65,"169,254",31,2537
305,306,The Sisters Brothers,Patrick deWitt,3.85,"94,193",30,2534
306,307,Carnal: Somewhere Over 40 Winks,Rom LcO'Feer,3.53,"2,121",25,2500
307,308,"Possession of My Heart (The Three Immortal Blades, #2)",Kia Carrington-Russell,3.56,"2,150",25,2494
308,309,"Living Dead in Dallas (Sookie Stackhouse, #2)",Charlaine Harris,3.96,"247,373",31,2490
309,310,"The Unlikely Pilgrimage of Harold Fry (Harold Fry, #1)",Rachel Joyce,3.93,"172,313",30,2486
310,311,I Am Malala: The Story of the Girl Who Stood Up for Education and Was Shot by the Taliban,Malala Yousafzai,4.15,"544,791",32,2484
311,312,Houdini Heart,Ki Longfellow,3.82,"5,702",26,2480
312,313,Fantastic Beasts and Where to Find Them,Newt Scamander,3.96,"388,742",36,2478
313,314,"Club Dead (Sookie Stackhouse, #3)",Charlaine Harris,4.01,"231,494",32,2436
314,315,Suzanne's Diary for Nicholas,James Patterson,4.17,"147,855",28,2432
315,316,Change of Heart,Jodi Picoult,3.94,"116,155",29,2426
316,317,"Moon Called (Mercy Thompson, #1)",Patricia Briggs,4.15,"199,918",30,2425
317,318,"Fall of Giants (The Century Trilogy, #1)",Ken Follett,4.31,"310,432",27,2386
318,319,The Audacity of Hope: Thoughts on Reclaiming the American Dream,Barack Obama,3.82,"161,427",29,2384
319,320,"An Echo in the Bone (Outlander, #7)",Diana Gabaldon,4.44,"144,384",29,2383
320,321,"Inferno (Robert Langdon, #4)",Dan Brown,3.88,"532,155",31,2371
321,322,The Tiger's Wife,Téa Obreht,3.41,"97,886",31,2369
